y_point,x_point
2.346516975603463,0.9424777960769379
4.635254915624211,1.8849555921538759
6.809857496093201,2.827433388230814
8.816778784387097,3.7699111843077517
10.606601717798211,4.71238898038469
12.135254915624213,5.654866776461628
13.365097862825516,6.5973445725385655
14.265847744427303,7.5398223686155035
14.815325108927066,8.482300164692441
15.0,9.42477796076938
14.815325108927066,10.367255756846317
14.265847744427305,11.309733552923255
13.365097862825518,12.252211349000193
12.135254915624213,13.194689145077131
10.606601717798213,14.137166941154069
8.816778784387099,15.079644737231007
6.809857496093203,16.022122533307943
4.635254915624213,16.964600329384883
2.3465169756034645,17.907078125461823
1.83697019872103e-15,18.84955592153876
-3.1286893008046146,19.792033717615695
-6.1803398874989455,20.734511513692635
-9.079809994790933,21.676989309769574
-11.75570504584946,22.61946710584651
-14.14213562373095,23.561944901923447
-16.180339887498945,24.504422698000386
-17.820130483767358,25.446900494077326
-19.02113032590307,26.389378290154262
-19.753766811902754,27.3318560862312
-20.0,28.274333882308138
-19.753766811902757,29.216811678385078
-19.021130325903073,30.159289474462014
-17.82013048376736,31.10176727053895
-16.180339887498953,32.044245066615886
-14.142135623730955,32.98672286269283
-11.755705045849467,33.929200658769766
-9.079809994790939,34.8716784548467
-6.180339887498953,35.814156250923645
-3.1286893008046226,36.75663404700058
-4.898587196589413e-15,37.69911184307752
